1,0,1000,24
1,0,400,17
1,1,0,24
2,0,83,24
2,0,133,19
2,1,0,24
3,0,133,25
3,0,43,24
3,1,30,25
4,0,83,19
4,0,153,25
4,1,0,20
4,1,30,24
4,1,20,25
5,0,63,24
5,0,73,25
5,0,36,24
5,1,1000,20
6,0,33,24
6,0,83,19
6,0,113,25
6,0,53,24
6,0,83,19
6,1,30,24
6,1,20,25
6,1,50,19
7,0,53,24
7,0,73,24
7,0,103,25
7,0,53,24
7,0,73,24
7,0,103,25
7,0,53,24
7,0,73,24
7,0,103,25
7,0,23,19
7,1,0,20
7,1,30,24
7,1,20,25
7,1,50,19
7,1,2000,20
8,0,53,19
8,0,73,24
8,0,93,25
8,1,30,24
8,1,20,25
8,1,500,20
8,1,2500,20
8,1,3500,20
8,1,4000,20
